@relation InstanceResultListener

@attribute Key_Dataset {audiology,breast-cancer,contact-lenses,pima_diabetes,Glass,ionosphere,iris,labor-neg-data,primary-tumor,vote,weather.symbolic,weather}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.trees.MIT}
@attribute Key_Scheme_options {'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 32 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 64 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 128 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 256 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 32 -I 16 -STG I -ERA 0.01','-C 0.25 -M 64 -I 32 -STG I -ERA 0.01','-C 0.25 -M 128 -I 64 -STG I -ERA 0.01','-C 0.25 -M 256 -I 128 -STG I -ERA 0.01','-C 0.25 -M 512 -I 256 -STG I -ERA 0.01','-C 0.25 -M 32 -I 16 -STG I -ERA 0.5','-C 0.25 -M 64 -I 32 -STG I -ERA 0.5','-C 0.25 -M 128 -I 64 -STG I -ERA 0.5','-C 0.25 -M 256 -I 128 -STG I -ERA 0.5','-C 0.25 -M 512 -I 256 -STG I -ERA 0.5','-C 0.25 -M 32 -I 16 -STG I -ERA 1.0','-C 0.25 -M 64 -I 32 -STG I -ERA 1.0','-C 0.25 -M 128 -I 64 -STG I -ERA 1.0','-C 0.25 -M 256 -I 128 -STG I -ERA 1.0','-C 0.25 -M 512 -I 256 -STG I -ERA 1.0'}
@attribute Key_Scheme_version_ID {1116839470751428698,-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 9\nSize of the tree: 14\n','Number of leaves: 18\nSize of the tree: 24\n','Number of leaves: 11\nSize of the tree: 15\n','Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 10\nSize of the tree: 15\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 11\nSize of the tree: 16\n','Number of leaves: 12\nSize of the tree: 17\n','Number of leaves: 9\nSize of the tree: 13\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 26\nSize of the tree: 29\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 15\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 14\n','Number of leaves: 15\nSize of the tree: 18\n','Number of leaves: 14\nSize of the tree: 16\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 8\nSize of the tree: 12\n','Number of leaves: 13\nSize of the tree: 18\n','Number of leaves: 14\nSize of the tree: 20\n','Number of leaves: 28\nSize of the tree: 32\n','Number of leaves: 17\nSize of the tree: 20\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 18\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 33\n','Number of leaves: 36\nSize of the tree: 43\n','Number of leaves: 24\nSize of the tree: 26\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 16\nSize of the tree: 22\n','Number of leaves: 45\nSize of the tree: 52\n','Number of leaves: 32\nSize of the tree: 37\n','Number of leaves: 30\nSize of the tree: 34\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 61\n','Number of leaves: 22\nSize of the tree: 26\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 14\nSize of the tree: 22\n','Number of leaves: 14\nSize of the tree: 19\n','Number of leaves: 13\nSize of the tree: 19\n','Number of leaves: 19\nSize of the tree: 27\n','Number of leaves: 17\nSize of the tree: 23\n','Number of leaves: 17\nSize of the tree: 24\n','Number of leaves: 32\nSize of the tree: 38\n','Number of leaves: 27\nSize of the tree: 31\n','Number of leaves: 37\nSize of the tree: 41\n','Number of leaves: 54\nSize of the tree: 63\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 6\nSize of the tree: 10\n','Number of leaves: 34\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 77\n','Number of leaves: 39\nSize of the tree: 72\n','Number of leaves: 32\nSize of the tree: 59\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 62\n','Number of leaves: 51\nSize of the tree: 90\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 25\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 21\n','Number of leaves: 21\nSize of the tree: 28\n','Number of leaves: 23\nSize of the tree: 32\n','Number of leaves: 22\nSize of the tree: 30\n','Number of leaves: 30\nSize of the tree: 35\n','Number of leaves: 41\nSize of the tree: 46\n','Number of leaves: 18\nSize of the tree: 21\n','Number of leaves: 40\nSize of the tree: 46\n','Number of leaves: 42\nSize of the tree: 49\n','Number of leaves: 39\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 28\nSize of the tree: 39\n','Number of leaves: 24\nSize of the tree: 33\n','Number of leaves: 41\nSize of the tree: 47\n','Number of leaves: 46\nSize of the tree: 54\n','Number of leaves: 56\nSize of the tree: 63\n','Number of leaves: 25\nSize of the tree: 30\n','Number of leaves: 47\nSize of the tree: 55\n','Number of leaves: 59\nSize of the tree: 68\n','Number of leaves: 51\nSize of the tree: 61\n','Number of leaves: 59\nSize of the tree: 67\n','Number of leaves: 7\nSize of the tree: 12\n','Number of leaves: 43\nSize of the tree: 79\n','Number of leaves: 40\nSize of the tree: 72\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 48\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 85\n','Number of leaves: 28\nSize of the tree: 37\n','Number of leaves: 30\nSize of the tree: 39\n','Number of leaves: 23\nSize of the tree: 31\n','Number of leaves: 29\nSize of the tree: 38\n','Number of leaves: 56\nSize of the tree: 64\n','Number of leaves: 45\nSize of the tree: 51\n','Number of leaves: 42\nSize of the tree: 50\n','Number of leaves: 58\nSize of the tree: 67\n','Number of leaves: 74\nSize of the tree: 84\n','Number of leaves: 26\nSize of the tree: 32\n','Number of leaves: 61\nSize of the tree: 70\n','Number of leaves: 49\nSize of the tree: 89\n','Number of leaves: 47\nSize of the tree: 85\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 48\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 24\nSize of the tree: 32\n','Number of leaves: 69\nSize of the tree: 79\n','Number of leaves: 65\nSize of the tree: 73\n','Number of leaves: 61\nSize of the tree: 71\n','Number of leaves: 49\nSize of the tree: 55\n','Number of leaves: 48\nSize of the tree: 56\n','Number of leaves: 64\nSize of the tree: 75\n','Number of leaves: 78\nSize of the tree: 88\n','Number of leaves: 30\nSize of the tree: 37\n','Number of leaves: 46\nSize of the tree: 84\n','Number of leaves: 53\nSize of the tree: 93\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 37\nSize of the tree: 64\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

audiology,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,18,5,0,78.26087,21.73913,0,0.745011,0.039518,0.126508,54.487367,66.76584,82.860732,1100.441169,-1017.580437,3.602641,47.845268,-44.242628,48.586645,2.112463,58.636515,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.782609,0.008282,0.991718,0.217391,?,0.782609,?,?,0.968285,0.885948,?,0.782609,0.024,0.001,0.03125,0,31.25,0,628980,131513,25493,91.304348,19.384058,?,-1,?,?,?
audiology,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,19,4,0,82.608696,17.391304,0,0.794183,0.03259,0.111377,44.777031,58.548842,82.25444,1091.439914,-1009.185474,3.57628,47.453909,-43.877629,56.981608,2.477461,69.274811,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.826087,0.03102,0.96898,0.173913,?,0.826087,?,?,0.969763,0.914934,?,0.826087,0.015,0.001,0.015625,0.015625,15.625,15.625,608123,131513,25493,95.652174,15.76087,?,-1,?,?,?
audiology,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,18,5,0,78.26087,21.73913,0,0.741573,0.037662,0.125744,51.74578,66.101121,82.25444,1095.871778,-1013.617338,3.57628,47.646599,-44.070319,53.068574,2.307329,64.51758,0,0,0,0,1,22,1,1,?,0,?,?,0.5,0.043478,0.782609,0.041933,0.958067,0.217391,?,0.782609,?,?,0.961706,0.879013,?,0.782609,0.012,0,0.015625,0,15.625,0,618499,131513,25493,95.652174,16.304348,?,-1,?,?,?
audiology,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,16,7,0,69.565217,30.434783,0,0.629885,0.035868,0.126933,49.530951,67.1054,80.105844,32.859283,47.246561,3.482863,1.428664,2.054198,52.479569,2.28172,65.512785,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.695652,0.069772,0.930228,0.304348,?,0.695652,?,?,0.979309,0.915114,?,0.695652,0.013,0.001,0.015625,0,15.625,0,690187,131513,25493,95.652174,15.57971,?,-1,?,?,?
audiology,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,16,7,0,69.565217,30.434783,0,0.63242,0.037769,0.136089,52.132281,71.910505,81.690807,2176.521938,-2094.831132,3.551774,94.631389,-91.079614,47.298281,2.056447,57.899148,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.695652,0.068668,0.931332,0.304348,?,0.695652,?,?,0.906486,0.787183,?,0.695652,0.011,0.001,0,0,0,0,631520,131513,25493,86.956522,16.123188,?,-1,?,?,?
audiology,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,203,23,20,3,0,86.956522,13.043478,0,0.845982,0.027488,0.099273,37.958637,52.482255,80.690807,1089.504523,-1008.813717,3.508296,47.369762,-43.861466,57.353365,2.493625,71.077942,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.869565,0.012077,0.987923,0.130435,?,0.869565,?,?,0.976285,0.936673,?,0.869565,0.012,0,0,0,0,0,639924,131513,25493,95.652174,15.942029,?,-1,?,?,?
audiology,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,204,22,18,4,0,81.818182,18.181818,0,0.78,0.027252,0.106596,37.980089,56.937167,70.407585,1088.359712,-1017.952128,3.200345,49.470896,-46.270551,51.163452,2.325611,72.667529,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.818182,0.028768,0.971232,0.181818,?,0.818182,?,?,0.959403,0.924415,?,0.818182,0.011,0,0.015625,0,15.625,0,599452,132102,24904,95.454545,14.015152,?,-1,?,?,?
audiology,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,204,22,15,7,0,68.181818,31.818182,0,0.62439,0.035197,0.124144,48.569573,65.574442,73.970621,27.135979,46.834642,3.362301,1.233454,2.128847,47.284339,2.149288,63.923134,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.681818,0.050434,0.949566,0.318182,?,0.681818,?,?,0.962986,0.869107,?,0.681818,0.011,0.001,0.015625,0,15.625,0,609936,132102,24904,100,17.424242,?,-1,?,?,?
audiology,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,204,22,16,6,0,72.727273,27.272727,0,0.676471,0.039381,0.132087,54.07047,69.379658,79.15177,1101.668968,-1022.517197,3.597808,50.075862,-46.478054,44.637202,2.028964,56.394445,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.727273,0.040158,0.959842,0.272727,?,0.727273,?,?,0.951082,0.853257,?,0.727273,0.011,0.001,0.015625,0,15.625,0,597391,132102,24904,95.454545,20.833333,?,-1,?,?,?
audiology,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,204,22,16,6,0,72.727273,27.272727,0,0.679612,0.040743,0.134475,55.914872,70.598772,80.15177,35.567896,44.583874,3.643262,1.616723,2.02654,50.450775,2.293217,62.944056,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.727273,0.040158,0.959842,0.272727,?,0.727273,?,?,0.941851,0.897727,?,0.727273,0.019,0,0.03125,0,31.25,0,649776,132102,24904,90.909091,17.424242,?,-1,?,?,?
breast-cancer,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,14,15,0,48.275862,51.724138,0,-0.246418,0.463552,0.553071,109.557657,119.500536,25.930469,37.198328,-11.26786,0.894154,1.282701,-0.388547,-5.246902,-0.180928,-20.234506,0.65,13,0.888889,8,0.111111,1,0.35,7,0.619048,0.65,0.634146,-0.247273,0.416667,0.713528,0.482759,0.721648,0.278352,0.517241,0.465722,0.482759,0.473853,-0.247273,0.416667,0.592638,0.375897,0.482759,0.005,0.001,0.015625,0,15.625,0,234652,31137,6285,100,93.103448,?,-1,?,?,?
breast-cancer,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,22,7,0,75.862069,24.137931,0,0.334426,0.32817,0.426482,77.560968,92.148746,25.930469,22.931431,2.999038,0.894154,0.790739,0.103415,5.535216,0.19087,21.346377,0.95,19,0.666667,6,0.333333,3,0.05,1,0.76,0.95,0.844444,0.380132,0.727778,0.860546,0.758621,0.475287,0.524713,0.241379,0.756897,0.758621,0.725612,0.380132,0.727778,0.788719,0.652991,0.758621,0.004,0,0,0,0,0,247075,31137,6285,100,91.37931,?,-1,?,?,?
breast-cancer,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,20,9,0,68.965517,31.034483,0,0.144262,0.36456,0.463218,86.161545,100.086333,25.930469,25.811672,0.118796,0.894154,0.890058,0.004096,2.814958,0.097068,10.855792,0.9,18,0.777778,7,0.222222,2,0.1,2,0.72,0.9,0.8,0.163978,0.727778,0.879998,0.689655,0.567433,0.432567,0.310345,0.651724,0.689655,0.647215,0.163978,0.727778,0.761821,0.553846,0.689655,0.003,0,0,0,0,0,237365,31137,6285,100,96.551724,?,-1,?,?,?
breast-cancer,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,20,9,0,68.965517,31.034483,0,0.144262,0.412953,0.523437,97.598758,113.097697,25.930469,3242.703055,-3216.772586,0.894154,111.817347,-110.923193,-0.961282,-0.033148,-3.707152,0.9,18,0.777778,7,0.222222,2,0.1,2,0.72,0.9,0.8,0.163978,0.427778,0.647327,0.689655,0.567433,0.432567,0.310345,0.651724,0.689655,0.647215,0.163978,0.427778,0.556472,0.553846,0.689655,0.004,0.001,0.015625,0,15.625,0,220505,31137,6285,89.655172,86.206897,?,-1,?,?,?
breast-cancer,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,19,10,0,65.517241,34.482759,0,0.082278,0.365304,0.465467,86.337258,100.57229,25.930469,28.062153,-2.131685,0.894154,0.96766,-0.073506,2.456867,0.08472,9.474828,0.85,17,0.777778,7,0.222222,2,0.15,3,0.708333,0.85,0.772727,0.088454,0.688889,0.843596,0.655172,0.58295,0.41705,0.344828,0.612644,0.655172,0.621585,0.088454,0.688889,0.741974,0.529221,0.655172,0.004,0,0,0,0,0,238820,31137,6285,96.551724,91.37931,?,-1,?,?,?
breast-cancer,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,257,29,21,8,0,72.413793,27.586207,0,0.100775,0.372213,0.466816,90.592819,104.278452,24.707459,29.274874,-4.567415,0.851981,1.009478,-0.157497,1.141794,0.039372,4.621251,0.952381,20,0.875,7,0.125,1,0.047619,1,0.740741,0.952381,0.833333,0.136487,0.553571,0.796263,0.724138,0.646757,0.353243,0.275862,0.67433,0.724138,0.658621,0.136487,0.553571,0.695051,0.516667,0.724138,0.004,0,0,0,0,0,255683,31137,6285,96.551724,91.37931,?,-1,?,?,?
breast-cancer,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,258,28,21,7,0,75,25,0,0.363636,0.311531,0.41092,75.197159,90.915666,24.187188,20.191404,3.995784,0.863828,0.721122,0.142707,5.389235,0.192473,22.281363,0.85,17,0.5,4,0.5,4,0.15,3,0.809524,0.85,0.829268,0.365148,0.759375,0.89211,0.75,0.4,0.6,0.25,0.741497,0.75,0.744715,0.365148,0.759375,0.83236,0.681301,0.75,0.004,0,0.015625,0,15.625,0,245828,31246,6176,100,87.5,?,-1,?,?,?
breast-cancer,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 16 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200206.1023,258,28,21,7,0,75,25,0,0.246154,0.372933,0.446409,90.018346,98.767507,24.187188,1094.537924,-1070.350736,0.863828,39.09064,-38.226812,2.985633,0.10663,12.34386,0.95,19,0.75,6,0.25,2,0.05,1,0.76,0.95,0.844444,0.292119,0.71875,0.821249,0.75,0.55,0.45,0.25,0.733333,0.75,0.707071,0.292119,0.71875,0.748944,0.60404,0.75,0.004,0,0,0,0,0,249512,31246,6176,96.428571,96.428571,?,-1,?,?,?
