@relation InstanceResultListener

@attribute Key_Dataset {audiology,breast-cancer,contact-lenses,primary-tumor,vote,weather.symbolic,pima_diabetes,Glass,ionosphere,iris,labor-neg-data,weather}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.MIT}
@attribute Key_Scheme_options {'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01','-C 0.25 -M 64 -I 32 -STG I -ERA 0.01','-C 0.25 -M 128 -I 64 -STG I -ERA 0.01','-C 0.25 -M 256 -I 128 -STG I -ERA 0.01','-C 0.25 -M 512 -I 256 -STG I -ERA 0.01','-C 0.25 -M 32 -I 16 -STG I -ERA 0.5','-C 0.25 -M 64 -I 32 -STG I -ERA 0.5','-C 0.25 -M 128 -I 64 -STG I -ERA 0.5','-C 0.25 -M 256 -I 128 -STG I -ERA 0.5','-C 0.25 -M 512 -I 256 -STG I -ERA 0.5','-C 0.25 -M 32 -I 16 -STG I -ERA 1.0','-C 0.25 -M 64 -I 32 -STG I -ERA 1.0','-C 0.25 -M 128 -I 64 -STG I -ERA 1.0','-C 0.25 -M 256 -I 128 -STG I -ERA 1.0','-C 0.25 -M 512 -I 256 -STG I -ERA 1.0'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 9\nSize of the tree: 14\n','Number of leaves: 18\nSize of the tree: 24\n','Number of leaves: 11\nSize of the tree: 15\n','Number of leaves: 7\nSize of the tree: 9\n','Number of leaves: 10\nSize of the tree: 15\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 11\nSize of the tree: 16\n','Number of leaves: 12\nSize of the tree: 17\n','Number of leaves: 9\nSize of the tree: 13\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 26\nSize of the tree: 29\n','Number of leaves: 1\nSize of the tree: 1\n','Number of leaves: 15\nSize of the tree: 17\n','Number of leaves: 13\nSize of the tree: 14\n','Number of leaves: 15\nSize of the tree: 18\n','Number of leaves: 14\nSize of the tree: 16\n','Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 7\nSize of the tree: 13\n','Number of leaves: 8\nSize of the tree: 15\n','Number of leaves: 13\nSize of the tree: 25\n','Number of leaves: 11\nSize of the tree: 21\n','Number of leaves: 12\nSize of the tree: 23\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 3\nSize of the tree: 4\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 33\nSize of the tree: 65\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 28\nSize of the tree: 55\n','Number of leaves: 21\nSize of the tree: 41\n','Number of leaves: 31\nSize of the tree: 61\n','Number of leaves: 24\nSize of the tree: 47\n','Number of leaves: 22\nSize of the tree: 43\n','Number of leaves: 18\nSize of the tree: 35\n','Number of leaves: 25\nSize of the tree: 49\n','Number of leaves: 19\nSize of the tree: 37\n','Number of leaves: 27\nSize of the tree: 53\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 8\nSize of the tree: 12\n','Number of leaves: 13\nSize of the tree: 18\n','Number of leaves: 14\nSize of the tree: 20\n','Number of leaves: 28\nSize of the tree: 32\n','Number of leaves: 17\nSize of the tree: 20\n','Number of leaves: 10\nSize of the tree: 19\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 40\nSize of the tree: 79\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 36\nSize of the tree: 71\n','Number of leaves: 16\nSize of the tree: 31\n','Number of leaves: 29\nSize of the tree: 57\n','Number of leaves: 26\nSize of the tree: 51\n','Number of leaves: 32\nSize of the tree: 63\n','Number of leaves: 9\nSize of the tree: 17\n','Number of leaves: 18\nSize of the tree: 25\n','Number of leaves: 29\nSize of the tree: 33\n','Number of leaves: 36\nSize of the tree: 43\n','Number of leaves: 24\nSize of the tree: 26\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 37\nSize of the tree: 73\n','Number of leaves: 23\nSize of the tree: 45\n','Number of leaves: 20\nSize of the tree: 39\n','Number of leaves: 16\nSize of the tree: 22\n','Number of leaves: 45\nSize of the tree: 52\n','Number of leaves: 32\nSize of the tree: 37\n','Number of leaves: 30\nSize of the tree: 34\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 54\nSize of the tree: 61\n','Number of leaves: 22\nSize of the tree: 26\n','Number of leaves: 42\nSize of the tree: 83\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 30\nSize of the tree: 59\n','Number of leaves: 14\nSize of the tree: 22\n','Number of leaves: 14\nSize of the tree: 19\n','Number of leaves: 13\nSize of the tree: 19\n','Number of leaves: 19\nSize of the tree: 27\n','Number of leaves: 17\nSize of the tree: 23\n','Number of leaves: 17\nSize of the tree: 24\n','Number of leaves: 32\nSize of the tree: 38\n','Number of leaves: 27\nSize of the tree: 31\n','Number of leaves: 37\nSize of the tree: 41\n','Number of leaves: 54\nSize of the tree: 63\n','Number of leaves: 34\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 77\n','Number of leaves: 39\nSize of the tree: 72\n','Number of leaves: 32\nSize of the tree: 59\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 62\n','Number of leaves: 51\nSize of the tree: 90\n','Number of leaves: 14\nSize of the tree: 27\n','Number of leaves: 4\nSize of the tree: 6\n','Number of leaves: 5\nSize of the tree: 8\n','Number of leaves: 6\nSize of the tree: 10\n','Number of leaves: 25\nSize of the tree: 33\n','Number of leaves: 20\nSize of the tree: 27\n','Number of leaves: 15\nSize of the tree: 21\n','Number of leaves: 21\nSize of the tree: 28\n','Number of leaves: 23\nSize of the tree: 32\n','Number of leaves: 22\nSize of the tree: 30\n','Number of leaves: 30\nSize of the tree: 35\n','Number of leaves: 41\nSize of the tree: 46\n','Number of leaves: 18\nSize of the tree: 21\n','Number of leaves: 40\nSize of the tree: 46\n','Number of leaves: 42\nSize of the tree: 49\n','Number of leaves: 39\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 28\nSize of the tree: 39\n','Number of leaves: 24\nSize of the tree: 33\n','Number of leaves: 41\nSize of the tree: 47\n','Number of leaves: 46\nSize of the tree: 54\n','Number of leaves: 56\nSize of the tree: 63\n','Number of leaves: 25\nSize of the tree: 30\n','Number of leaves: 47\nSize of the tree: 55\n','Number of leaves: 59\nSize of the tree: 68\n','Number of leaves: 51\nSize of the tree: 61\n','Number of leaves: 59\nSize of the tree: 67\n','Number of leaves: 43\nSize of the tree: 79\n','Number of leaves: 40\nSize of the tree: 72\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 48\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 85\n','Number of leaves: 7\nSize of the tree: 12\n','Number of leaves: 28\nSize of the tree: 37\n','Number of leaves: 30\nSize of the tree: 39\n','Number of leaves: 23\nSize of the tree: 31\n','Number of leaves: 29\nSize of the tree: 38\n','Number of leaves: 56\nSize of the tree: 64\n','Number of leaves: 45\nSize of the tree: 51\n','Number of leaves: 42\nSize of the tree: 50\n','Number of leaves: 58\nSize of the tree: 67\n','Number of leaves: 74\nSize of the tree: 84\n','Number of leaves: 26\nSize of the tree: 32\n','Number of leaves: 61\nSize of the tree: 70\n','Number of leaves: 49\nSize of the tree: 89\n','Number of leaves: 47\nSize of the tree: 85\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 48\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 15\nSize of the tree: 29\n','Number of leaves: 24\nSize of the tree: 32\n','Number of leaves: 69\nSize of the tree: 79\n','Number of leaves: 65\nSize of the tree: 73\n','Number of leaves: 61\nSize of the tree: 71\n','Number of leaves: 49\nSize of the tree: 55\n','Number of leaves: 48\nSize of the tree: 56\n','Number of leaves: 64\nSize of the tree: 75\n','Number of leaves: 78\nSize of the tree: 88\n','Number of leaves: 30\nSize of the tree: 37\n','Number of leaves: 46\nSize of the tree: 84\n','Number of leaves: 53\nSize of the tree: 93\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 37\nSize of the tree: 64\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

audiology,1,1,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,14,9,0,60.869565,39.130435,0,0.533784,0.058201,0.162754,80.246905,85.894927,82.860732,1127.156723,-1044.295991,3.602641,49.006814,-45.404174,24.592043,1.069219,29.678766,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.608696,0.063472,0.936528,0.391304,?,0.608696,?,?,0.830348,0.581554,?,0.608696,0.172,0,0.15625,0,156.25,0,22408,131513,25493,86.956522,54.710145,'Number of leaves: 9\nSize of the tree: 14\n',14,9,9
audiology,1,2,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,15,8,0,65.217391,34.782609,0,0.581818,0.057889,0.16027,79.536134,84.251201,82.25444,1121.176907,-1038.922467,3.57628,48.746822,-45.170542,27.586636,1.199419,33.538173,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.652174,0.062216,0.937784,0.347826,?,0.652174,?,?,0.895539,0.629502,?,0.652174,0.203,0.001,0.171875,0,171.875,0,29236,131513,25493,91.304348,57.065217,'Number of leaves: 18\nSize of the tree: 24\n',24,18,18
audiology,1,3,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,12,11,0,52.173913,47.826087,0,0.404706,0.058976,0.165692,81.029279,87.101298,82.25444,1120.991936,-1038.737496,3.57628,48.73878,-45.1625,27.77477,1.207599,33.766894,0,0,0,0,1,22,1,1,?,0,?,?,0.5,0.043478,0.521739,0.11425,0.88575,0.478261,?,0.521739,?,?,0.887128,0.526735,?,0.521739,0.227,0,0.234375,0,234.375,0,23258,131513,25493,95.652174,49.094203,'Number of leaves: 11\nSize of the tree: 15\n',15,11,11
audiology,1,4,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,11,12,0,47.826087,52.173913,0,0.320197,0.062617,0.172872,86.46861,91.391859,80.105844,69.062687,11.043157,3.482863,3.002726,0.480137,14.342912,0.623605,17.904951,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.478261,0.151463,0.848537,0.521739,?,0.478261,?,?,0.735912,0.397923,?,0.478261,0.155,0,0.140625,0,140.625,0,19374,131513,25493,91.304348,56.521739,'Number of leaves: 7\nSize of the tree: 9\n',9,7,7
audiology,1,5,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,14,9,0,60.869565,39.130435,0,0.527397,0.059345,0.1621,81.913547,85.655128,81.690807,1125.827864,-1044.137057,3.551774,48.949038,-45.397263,24.800713,1.078292,30.359246,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.608696,0.07695,0.92305,0.391304,?,0.608696,?,?,0.875761,0.598293,?,0.608696,0.155,0,0.140625,0,140.625,0,23106,131513,25493,91.304348,55.615942,'Number of leaves: 10\nSize of the tree: 15\n',15,10,10
audiology,1,6,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,203,23,14,9,0,60.869565,39.130435,0,0.512941,0.057536,0.160896,79.452187,85.060413,80.690807,1122.426848,-1041.736041,3.508296,48.801167,-45.292871,24.892348,1.082276,30.849051,?,0,0,0,1,23,?,0,?,?,?,?,?,?,0.608696,0.096091,0.903909,0.391304,?,0.608696,?,?,0.859305,0.487294,?,0.608696,0.143,0,0.09375,0,93.75,0,17826,131513,25493,95.652174,56.702899,'Number of leaves: 4\nSize of the tree: 7\n',7,4,4
audiology,1,7,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,204,22,17,5,0,77.272727,22.727273,0,0.71867,0.048944,0.141765,68.211746,75.722216,70.407585,36.238741,34.168844,3.200345,1.647215,1.553129,34.965522,1.589342,49.661584,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.772727,0.058021,0.941979,0.227273,?,0.772727,?,?,0.901839,0.694192,?,0.772727,0.117,0,0.09375,0,93.75,0,23804,132102,24904,100,44.318182,'Number of leaves: 11\nSize of the tree: 16\n',16,11,11
audiology,1,8,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,204,22,15,7,0,68.181818,31.818182,0,0.615,0.053687,0.153144,74.084307,80.892294,73.970621,42.294158,31.676463,3.362301,1.922462,1.439839,32.147492,1.46125,43.459812,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.681818,0.066845,0.933155,0.318182,?,0.681818,?,?,0.902839,0.649436,?,0.681818,0.221,0,0.21875,0,218.75,0,24502,132102,24904,100,50.189394,'Number of leaves: 12\nSize of the tree: 17\n',17,12,12
audiology,1,9,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,204,22,12,10,0,54.545455,45.454545,0,0.430052,0.058919,0.166109,80.895702,87.250063,79.15177,58.204741,20.947029,3.597808,2.64567,0.952138,23.535022,1.069774,29.734044,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.545455,0.116043,0.883957,0.454545,?,0.545455,?,?,0.82132,0.425017,?,0.545455,0.133,0,0.125,0,125,0,21862,132102,24904,95.454545,54.356061,'Number of leaves: 9\nSize of the tree: 13\n',13,9,9
audiology,1,10,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,204,22,10,12,0,45.454545,54.545455,0,0.294118,0.066544,0.179097,91.322562,94.024953,80.15177,69.444405,10.707365,3.643262,3.156564,0.486698,11.726873,0.53304,14.630835,?,0,0,0,1,22,?,0,?,?,?,?,?,?,0.454545,0.160428,0.839572,0.545455,?,0.454545,?,?,0.784613,0.285936,?,0.454545,0.106,0,0.078125,0,78.125,0,15338,132102,24904,90.909091,56.628788,'Number of leaves: 2\nSize of the tree: 3\n',3,2,2
breast-cancer,1,1,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,20,9,0,68.965517,31.034483,0,0,0.396313,0.465253,93.665955,100.525915,25.930469,26.271772,-0.341303,0.894154,0.905923,-0.011769,1.520215,0.052421,5.86266,1,20,1,9,0,0,0,0,0.689655,1,0.816327,?,0.477778,0.687251,0.689655,0.689655,0.310345,0.310345,?,0.689655,?,?,0.477778,0.576473,?,0.689655,0.083,0,0.078125,0,78.125,0,9752,31137,6285,100,100,'Number of leaves: 26\nSize of the tree: 29\n',29,26,26
breast-cancer,1,2,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,20,9,0,68.965517,31.034483,0,0,0.405541,0.466429,95.847118,100.780054,25.930469,26.287774,-0.357305,0.894154,0.906475,-0.012321,1.013141,0.034936,3.907145,1,20,1,9,0,0,0,0,0.689655,1,0.816327,?,0.5,0.689655,0.689655,0.689655,0.310345,0.310345,?,0.689655,?,?,0.5,0.571938,?,0.689655,0.078,0,0.046875,0,46.875,0,4679,31137,6285,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
breast-cancer,1,3,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,23,6,0,79.310345,20.689655,0,0.449367,0.352956,0.4028,83.419003,87.031983,25.930469,21.020594,4.909875,0.894154,0.724848,0.169306,5.42448,0.187051,20.919327,0.95,19,0.555556,5,0.444444,4,0.05,1,0.791667,0.95,0.863636,0.483094,0.813889,0.862987,0.793103,0.398659,0.601341,0.206897,0.794253,0.793103,0.772951,0.483094,0.813889,0.803948,0.717532,0.793103,0.054,0,0.046875,0,46.875,0,7688,31137,6285,100,100,'Number of leaves: 15\nSize of the tree: 17\n',17,15,15
breast-cancer,1,4,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,21,8,0,72.413793,27.586207,0,0.210884,0.403692,0.461954,95.410066,99.813118,25.930469,26.083229,-0.152761,0.894154,0.899422,-0.005268,0.905855,0.031236,3.4934,0.95,19,0.777778,7,0.222222,2,0.05,1,0.730769,0.95,0.826087,0.261624,0.388889,0.641034,0.724138,0.551916,0.448084,0.275862,0.710875,0.724138,0.673163,0.261624,0.388889,0.562624,0.57971,0.724138,0.062,0,0.0625,0,62.5,0,7688,31137,6285,100,100,'Number of leaves: 15\nSize of the tree: 17\n',17,15,15
breast-cancer,1,5,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,19,10,0,65.517241,34.482759,0,-0.066176,0.400219,0.452928,94.589178,97.863005,25.930469,25.064457,0.866012,0.894154,0.864292,0.029862,1.631919,0.056273,6.293444,0.95,19,1,9,0,0,0.05,1,0.678571,0.95,0.791667,-0.126773,0.683333,0.792507,0.655172,0.705172,0.294828,0.344828,0.46798,0.655172,0.545977,-0.126773,0.683333,0.682753,0.395833,0.655172,0.094,0,0.0625,0,62.5,0,7154,31137,6285,100,100,'Number of leaves: 13\nSize of the tree: 14\n',14,13,13
breast-cancer,1,6,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,257,29,21,8,0,72.413793,27.586207,0,0,0.416493,0.448548,101.370111,100.197661,24.707459,24.785321,-0.077862,0.851981,0.854666,-0.002685,-0.766179,-0.02642,-3.101004,1,21,1,8,0,0,0,0,0.724138,1,0.84,?,0.5,0.724138,0.724138,0.724138,0.275862,0.275862,?,0.724138,?,?,0.5,0.600476,?,0.724138,0.078,0,0.0625,0,62.5,0,4679,31137,6285,100,100,'Number of leaves: 1\nSize of the tree: 1\n',1,1,1
breast-cancer,1,7,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,258,28,23,5,0,82.142857,17.857143,0,0.545455,0.330503,0.390839,79.776487,86.4727,24.187188,19.382237,4.804951,0.863828,0.692223,0.171605,5.717235,0.204187,23.637451,0.9,18,0.375,3,0.625,5,0.1,2,0.857143,0.9,0.878049,0.547723,0.796875,0.876455,0.821429,0.296429,0.703571,0.178571,0.816327,0.821429,0.817654,0.547723,0.796875,0.797666,0.772358,0.821429,0.078,0,0.0625,0,62.5,0,7882,31246,6176,100,100,'Number of leaves: 15\nSize of the tree: 18\n',18,15,15
breast-cancer,1,8,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 0.01',-217733168393644444,20191203.1526,258,28,21,7,0,75,25,0,0.169492,0.391498,0.444027,94.499579,98.24051,24.187188,23.576244,0.610945,0.863828,0.842009,0.021819,0.899631,0.03213,3.719452,1,20,0.875,7,0.125,1,0,0,0.740741,1,0.851064,0.30429,0.65,0.816959,0.75,0.625,0.375,0.25,0.814815,0.75,0.671395,0.30429,0.65,0.708001,0.536643,0.75,0.078,0,0.0625,0,62.5,0,7688,31246,6176,100,100,'Number of leaves: 15\nSize of the tree: 17\n',17,15,15
