@relation InstanceResultListener

@attribute Key_Dataset {primary-tumor}
@attribute Key_Run {1}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.MIT}
@attribute Key_Scheme_options {'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0','-C 0.25 -M 64 -I 32 -STG I -ERA 1.0','-C 0.25 -M 128 -I 64 -STG I -ERA 1.0','-C 0.25 -M 256 -I 128 -STG I -ERA 1.0','-C 0.25 -M 512 -I 256 -STG I -ERA 1.0'}
@attribute Key_Scheme_version_ID {-217733168393644444}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 34\nSize of the tree: 63\n','Number of leaves: 42\nSize of the tree: 75\n','Number of leaves: 42\nSize of the tree: 77\n','Number of leaves: 39\nSize of the tree: 72\n','Number of leaves: 32\nSize of the tree: 59\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 49\nSize of the tree: 87\n','Number of leaves: 34\nSize of the tree: 61\n','Number of leaves: 34\nSize of the tree: 62\n','Number of leaves: 51\nSize of the tree: 90\n','Number of leaves: 39\nSize of the tree: 69\n','Number of leaves: 44\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 83\n','Number of leaves: 45\nSize of the tree: 81\n','Number of leaves: 45\nSize of the tree: 80\n','Number of leaves: 46\nSize of the tree: 81\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 43\nSize of the tree: 79\n','Number of leaves: 40\nSize of the tree: 72\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 51\nSize of the tree: 91\n','Number of leaves: 48\nSize of the tree: 85\n','Number of leaves: 50\nSize of the tree: 87\n','Number of leaves: 49\nSize of the tree: 85\n','Number of leaves: 49\nSize of the tree: 89\n','Number of leaves: 47\nSize of the tree: 85\n','Number of leaves: 43\nSize of the tree: 77\n','Number of leaves: 54\nSize of the tree: 95\n','Number of leaves: 48\nSize of the tree: 87\n','Number of leaves: 50\nSize of the tree: 89\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 46\nSize of the tree: 84\n','Number of leaves: 53\nSize of the tree: 93\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 37\nSize of the tree: 64\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

primary-tumor,1,1,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,17,17,0,50,50,0,0.413793,0.067141,0.184931,82.866421,92.251496,123.359811,97.522577,25.837233,3.62823,2.868311,0.759919,38.403749,1.129522,31.131492,0.888889,8,0.2,5,0.8,20,0.111111,1,0.615385,0.888889,0.727273,0.625402,0.873333,0.674739,0.5,0.082185,0.917815,0.5,?,0.5,?,?,0.78965,0.475128,?,0.5,0.234,0.003,0.234375,0,234.375,0,42508,56801,9918,91.176471,41.176471,'Number of leaves: 34\nSize of the tree: 63\n',63,34,34
primary-tumor,1,2,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.381193,0.061958,0.174535,76.539068,87.153636,121.456066,83.547967,37.908099,3.572237,2.457293,1.114944,44.458739,1.30761,36.604791,0.777778,7,0.24,6,0.76,19,0.222222,2,0.538462,0.777778,0.636364,0.488217,0.88,0.754125,0.470588,0.08893,0.91107,0.529412,?,0.470588,?,?,0.84548,0.538712,?,0.470588,0.131,0.001,0.09375,0,93.75,0,49764,56801,9918,91.176471,39.037433,'Number of leaves: 42\nSize of the tree: 75\n',75,42,42
primary-tumor,1,3,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,14,20,0,41.176471,58.823529,0,0.309645,0.066172,0.184843,81.752372,92.311485,121.233674,1155.851896,-1034.618222,3.565696,33.995644,-30.429948,40.733845,1.198054,33.599448,0.666667,6,0.28,7,0.72,18,0.333333,3,0.461538,0.666667,0.545455,0.351032,0.78,0.510143,0.411765,0.105132,0.894868,0.588235,?,0.411765,?,?,0.811118,0.380905,?,0.411765,0.144,0.001,0.125,0,125,0,50792,56801,9918,94.117647,38.636364,'Number of leaves: 42\nSize of the tree: 77\n',77,42,42
primary-tumor,1,4,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.355932,0.061636,0.175182,75.781104,87.012015,122.999558,1161.00269,-1038.003132,3.617634,34.147138,-30.529504,42.20846,1.241425,34.315945,0.75,6,0.192308,5,0.807692,21,0.25,2,0.545455,0.75,0.631579,0.505669,0.935096,0.875,0.441176,0.083606,0.916394,0.558824,?,0.441176,?,?,0.805133,0.512129,?,0.441176,0.1,0.001,0.078125,0,78.125,0,47814,56801,9918,85.294118,39.705882,'Number of leaves: 39\nSize of the tree: 72\n',72,39,39
primary-tumor,1,5,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.392254,0.066724,0.185237,81.773535,91.677779,129.184627,107.906748,21.277879,3.799548,3.173728,0.62582,37.391263,1.099743,28.94405,0.875,7,0.192308,5,0.807692,21,0.125,1,0.583333,0.875,0.7,0.605975,0.90625,0.638095,0.470588,0.075262,0.924738,0.529412,?,0.470588,?,?,0.792788,0.406,?,0.470588,0.088,0,0.09375,0,93.75,0,40180,56801,9918,82.352941,42.379679,'Number of leaves: 32\nSize of the tree: 59\n',59,32,32
primary-tumor,1,6,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,15,19,0,44.117647,55.882353,0,0.355289,0.067807,0.18888,83.101534,93.480506,129.184627,1182.135676,-1052.95105,3.799548,34.768696,-30.969149,36.362213,1.069477,28.147477,0.75,6,0.307692,8,0.692308,18,0.25,2,0.428571,0.75,0.545455,0.381221,0.771635,0.511205,0.441176,0.091911,0.908089,0.558824,?,0.441176,?,?,0.747542,0.417234,?,0.441176,0.086,0,0.0625,0,62.5,0,57398,56801,9918,88.235294,39.973262,'Number of leaves: 49\nSize of the tree: 88\n',88,49,49
primary-tumor,1,7,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,14,20,0,41.176471,58.823529,0,0.326733,0.0673,0.188008,82.612154,93.216136,127.398302,1172.468018,-1045.069716,3.747009,34.484353,-30.737345,36.70263,1.079489,28.809356,0.375,3,0.307692,8,0.692308,18,0.625,5,0.272727,0.375,0.315789,0.061029,0.641827,0.347448,0.411765,0.10094,0.89906,0.588235,?,0.411765,?,?,0.760776,0.398158,?,0.411765,0.085,0,0.078125,0,78.125,0,56884,56801,9918,88.235294,35.561497,'Number of leaves: 49\nSize of the tree: 87\n',87,49,49
primary-tumor,1,8,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,16,18,0,47.058824,52.941176,0,0.385542,0.065884,0.179294,80.897997,88.924997,126.813339,1162.305873,-1035.492533,3.729804,34.185467,-30.455663,42.425298,1.247803,33.454917,0.875,7,0.269231,7,0.730769,19,0.125,1,0.5,0.875,0.636364,0.522107,0.879808,0.800208,0.470588,0.088866,0.911134,0.529412,?,0.470588,?,?,0.789652,0.493761,?,0.470588,0.08,0.001,0.0625,0,62.5,0,41480,56801,9918,88.235294,40.775401,'Number of leaves: 34\nSize of the tree: 61\n',61,34,34
primary-tumor,1,9,weka.classifiers.trees.MIT,'-C 0.25 -M 32 -I 16 -STG I -ERA 1.0',-217733168393644444,20200206.1006,305,34,14,20,0,41.176471,58.823529,0,0.317954,0.067688,0.184974,83.113582,91.742372,126.813339,2235.574025,-2108.760686,3.729804,65.752177,-62.022373,37.766443,1.110778,29.781128,0.75,6,0.307692,8,0.692308,18,0.25,2,0.428571,0.75,0.545455,0.381221,0.721154,0.629198,0.411765,0.097726,0.902274,0.588235,?,0.411765,?,?,0.761253,0.495298,?,0.411765,0.078,0,0.078125,0,78.125,0,41994,56801,9918,82.352941,38.903743,'Number of leaves: 34\nSize of the tree: 62\n',62,34,34
